LBN_2000_population,LBN_2001_population,LBN_2002_population,LBN_2003_population,LBN_2004_population,LBN_2005_population,LBN_2006_population,LBN_2007_population,LBN_2008_population,LBN_2009_population,LBN_2010_population,LBN_2011_population,LBN_2012_population,LBN_2013_population,LBN_2014_population,LBN_2015_population,LBN_2016_population,LBN_2017_population,LBN_2018_population,LBN_2019_population,LBN_2020_population,count,system:index,label
4.436748504638672,4.086546897888184,6.511084079742432,6.754640579223633,6.4020490646362305,6.621424198150635,6.531253814697266,7.778844833374023,6.807243347167969,6.193820476531982,14.381280899047852,13.590453147888184,15.100702285766602,16.8276424407959,17.018798828125,19.106382369995117,22.648405075073242,22.224702835083008,20.25789451599121,21.174354553222656,23.757661819458008,1,+23939+11522,1
15.186848640441895,16.014955520629883,17.19524574279785,18.860273361206055,18.269084930419922,20.44194793701172,20.89602279663086,21.389986038208008,22.08815574645996,23.162721633911133,28.076263427734375,27.500715255737305,32.16725158691406,33.152488708496094,36.40208053588867,43.985408782958984,39.53151321411133,39.214874267578125,40.47513961791992,42.16838073730469,46.35869216918945,1,+23939+11556,1
5.465926647186279,5.253785610198975,7.39748477935791,7.616724491119385,8.531725883483887,6.590906143188477,9.09044361114502,8.071883201599121,8.357752799987793,7.454657554626465,10.286925315856934,10.265445709228516,9.193830490112305,9.636453628540039,14.872967720031738,18.788694381713867,22.574920654296875,22.732601165771484,20.07285499572754,19.884143829345703,22.58817481994629,2,+23940+11537,1
9.767828941345215,8.971464157104492,10.786622047424316,10.701132774353027,13.149808883666992,8.461666107177734,12.374969482421875,9.93554401397705,14.337139129638672,12.207218170166016,11.659857749938965,11.273573875427246,9.059661865234375,10.601309776306152,15.194993019104004,19.497760772705078,18.121688842773438,16.52320098876953,18.777328491210938,21.061511993408203,19.852636337280273,1,+23940+11552,1
15.186848640441895,16.78053092956543,18.28228759765625,19.249500274658203,18.419580459594727,20.55265235900879,21.445301055908203,21.389986038208008,23.023923873901367,23.59200668334961,28.33968734741211,28.727811813354492,33.722129821777344,33.152488708496094,37.606971740722656,44.42064666748047,41.47954559326172,42.012474060058594,43.61915969848633,43.561256408691406,48.39736557006836,1,+23940+11560,1
5.952502250671387,5.17660665512085,7.781796932220459,9.16800308227539,8.31455135345459,7.484411239624023,8.730511665344238,10.488243103027344,9.572121620178223,9.184774398803711,16.95383071899414,15.129694938659668,9.020617485046387,10.210968971252441,16.38751220703125,19.806575775146484,19.28647232055664,18.775392532348633,17.676254272460938,19.731571197509766,18.054832458496094,1,+23941+11530,1
6.1910200119018555,5.001577377319336,7.004515171051025,9.370223999023438,7.748486042022705,7.414525032043457,8.292145729064941,10.138236045837402,8.978607177734375,8.546032905578613,16.98279571533203,15.034156799316406,17.34770965576172,19.995441436767578,18.42687225341797,22.40069007873535,26.076492309570312,24.30012321472168,22.37157440185547,24.38219451904297,24.057621002197266,1,+23944+11517,1
13.65701961517334,16.78053092956543,18.28228759765625,19.249500274658203,18.419580459594727,20.55265235900879,21.445301055908203,21.216279983520508,23.023923873901367,23.59200668334961,28.33968734741211,28.727811813354492,33.722129821777344,32.92158508300781,37.606971740722656,44.42064666748047,41.47954559326172,42.012474060058594,43.61915969848633,43.561256408691406,48.39736557006836,2,+23945+11561,1
6.1910200119018555,5.001577377319336,7.004515171051025,9.370223999023438,7.748486042022705,7.414525032043457,8.292145729064941,10.138236045837402,8.978607177734375,8.546032905578613,16.98279571533203,15.034156799316406,17.34770965576172,19.995441436767578,18.42687225341797,22.40069007873535,26.076492309570312,24.30012321472168,22.37157440185547,24.38219451904297,24.057621002197266,3,+23946+11520,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,+23948+11517,1
5.952502250671387,5.17660665512085,7.781796932220459,9.16800308227539,8.31455135345459,7.484411239624023,8.730511665344238,10.488243103027344,9.572121620178223,9.184774398803711,16.95383071899414,15.129694938659668,9.020617485046387,10.210968971252441,16.38751220703125,19.806575775146484,19.28647232055664,18.775392532348633,17.676254272460938,19.731571197509766,18.054832458496094,6,+23948+11528,1
9.767828941345215,8.971464157104492,10.786622047424316,10.701132774353027,13.149808883666992,8.461666107177734,12.374969482421875,9.93554401397705,14.337139129638672,12.207218170166016,11.659857749938965,11.273573875427246,9.059661865234375,10.601309776306152,15.194993019104004,19.497760772705078,18.121688842773438,16.52320098876953,18.777328491210938,21.061511993408203,19.852636337280273,1,+23948+11550,1
22.989681243896484,25.10946273803711,22.104694366455078,23.668270111083984,21.46421241760254,29.241313934326172,27.62489891052246,29.857669830322266,28.345890045166016,29.068450927734375,33.3012580871582,35.44095230102539,54.38041305541992,47.99641036987305,46.9080810546875,48.37820816040039,57.043582916259766,58.85709762573242,65.48698425292969,55.88962173461914,67.07656860351562,1,+23948+11571,1
22.989681243896484,25.10946273803711,22.104694366455078,23.668270111083984,21.46421241760254,29.241313934326172,27.62489891052246,29.857669830322266,28.345890045166016,29.068450927734375,33.3012580871582,35.44095230102539,54.38041305541992,47.99641036987305,46.9080810546875,48.37820816040039,57.043582916259766,58.85709762573242,65.48698425292969,55.88962173461914,67.07656860351562,2,+23948+11577,1
111.5888442993164,136.93896484375,128.61907958984375,136.6595458984375,136.23538208007812,154.99942016601562,149.16510009765625,158.8971710205078,169.16929626464844,172.2403564453125,120.5933837890625,128.20404052734375,157.74232482910156,144.3432159423828,142.5033416748047,144.8129425048828,212.19581604003906,216.70733642578125,207.5143280029297,223.72215270996094,209.45237731933594,2,+23949+11602,1
